"","product_productid","review_userid","review_helpfulness","review_score"
"117","790747324.0","A25ZVI6RH1KA5L","76/78",5
"118","790747324.0","A1BWHXTFOVF9CY","60/62",5
"119","790747324.0","A16Q1LYIDE2WDZ","3/5",4
"120","790747324.0","A16CZRQL23NOIW","3/5",5
"121","790747324.0","A24FSR37TN4MSF","3/5",5
"122","790747324.0","A1H2SCAYWQLMC0","3/5",5
"123","790747324.0","A3N4OZD5JKLEL2","3/5",5
"124","790747324.0","A193A7T1E8CUTB","3/5",5
"125","790747324.0","A1Y6LC4JFBCGZN","8/8",4
"126","790747324.0","A2W00XKTTF1G0Z","11/12",5
"127","790747324.0","A28OMX3LCK86OV","12/14",3
"128","790747324.0","A2OVUDBRWGX0LL","11/13",4
"129","790747324.0","A26HFSVLAGULIM","8/9",5
"130","790747324.0","A3P121GNV5QYIN","5/5",5
"131","790747324.0","AES0JMK0KYYHI","10/12",5
"132","790747324.0","A1T0Z4J5PPLTC7","10/12",4
"133","790747324.0","A92LD431P843F","7/8",5
"134","790747324.0","A14QW3EMN8PBZV","7/8",5
"135","790747324.0","A2TOU0N8XE68W4","7/8",5
"136","790747324.0","AWLFVCT9128JV","4/4",4
"137","790747324.0","A13BLSXL78EMRX","4/4",5
"138","790747324.0","AC1U7PPQJKA9D","4/4",5
"139","790747324.0","AAYW1H4SMNOI","4/4",5
"140","790747324.0","A2KVUYPLEW4LXT","4/4",5
"141","790747324.0","A2KFUFXQ1YTWNT","6/7",5
"142","790747324.0","A2OAX6CKFKSQVA","3/3",5
"143","790747324.0","AFK6J1EL70ZGG","3/3",4
"144","790747324.0","A1N8ENRW29MY4X","3/3",5
"145","790747324.0","A3ADUOVTY3TIRU","3/3",5
"146","790747324.0","A3ASR7JA7MPKW4","3/3",5
"147","790747324.0","A2AOZQ3WTNVVOK","3/3",5
"148","790747324.0","ARFBRSE35ZJ6A","3/3",4
"149","790747324.0","A2D9IEFJGB483Q","3/3",5
"150","790747324.0","A317526BROLHAS","3/3",5
"151","790747324.0","A3NIQK6ZLYEP1L","3/3",5
"152","790747324.0","A16VWWB8G00EPV","5/6",4
"153","790747324.0","A2AML5BI49ST3F","5/6",5
"154","790747324.0","A2RD0B8LLOSMCQ","9/12",3
"155","790747324.0","A1G1YRACFRHI8P","4/5",5
"156","790747324.0","A12V5I7WHOYXVK","4/5",5
"157","790747324.0","A3O2RCKAMSE9X7","4/5",5
"158","B0001G6PZC","A3JYW6GWR9CS5P","4/4",5
"159","B0001G6PZC","A16NHMMS2S0Z3F","4/4",5
"160","B0001G6PZC","APDD1N7ZSYM8P","4/4",5
"161","B0001G6PZC","A2IM9U6U6E2E9D","4/4",5
"162","B0001G6PZC","A379SAP75SPDHD","4/4",4
"163","B0001G6PZC","A13RM1AWD1C5ZR","4/4",4
"164","B0001G6PZC","A24QE8VGWW3L4G","11/14",2
"165","B0001G6PZC","AFA2BUKOL8U1B","11/14",3
"166","B0001G6PZC","AGU2ZGUBFCJTJ","11/14",5
"167","B0001G6PZC","A3RTMMQ82HB27H","11/14",5
"168","B0001G6PZC","A3QQMEYFS7AR5N","6/7",5
"169","B0001G6PZC","A388F7LYD04STN","6/7",3
"170","B0001G6PZC","A3G65Z3IU8HVES","13/17",5
"171","B0001G6PZC","A194PR7PPY5M93","8/10",5
"172","B0001G6PZC","A15W94TIP8HCKM","8/10",5
"173","B0001G6PZC","A1ZKAZIBRWY6WJ","8/10",5
"174","B0001G6PZC","A1S749MYKSGHQE","8/10",5
"175","B0001G6PZC","A3VPO520KEFSMO","8/10",5
"176","B0001G6PZC","A11YJS79DZD7D9","8/10",5
"177","B0001G6PZC","A28YVF72KWOJ1X","8/10",3
"178","B0001G6PZC","A17N23WXA7EAF","8/10",5
"179","B0001G6PZC","A3NN4RTUN0LHBN","10/13",5
"180","B0001G6PZC","A1IWWRZJOXOSYP","3/3",4
"181","B0001G6PZC","A3F3THLLZXURQN","3/3",4
"182","B0001G6PZC","A3J78KAIPW6KAH","3/3",4
"183","B0001G6PZC","A3F3B6HY9RJI04","3/3",5
"184","B0001G6PZC","A2Z5WQEQDDD7W4","3/3",4
"185","B0001G6PZC","A2T5SN9URKMX88","3/3",5
"186","B0001G6PZC","A1X15AQVSCKKRG","3/3",5
"187","B0001G6PZC","A5I88702K12HM","3/3",4
"188","B0001G6PZC","A3DI1ZY8MNEAR5","3/3",4
"189","B0001G6PZC","AO0Y5G7CNS7GT","3/3",4
"190","B0001G6PZC","A2WJSWP3B02GWV","3/3",5
"191","B0001G6PZC","A2W73HCT8B5H8T","3/3",4
"192","B0001G6PZC","A1IOJE0W1NXOSE","3/3",3
"193","B0001G6PZC","A1PB2W640Z87RJ","3/3",4
"194","B0001G6PZC","A1TLZXWK0K92K9","3/3",5
"195","B0001G6PZC","A21QIKFIGT3XRK","3/3",4
"196","B0001G6PZC","A2643AUL4FGYS4","3/3",5
"197","B0001G6PZC","A1TW9ZGRDQQZ2Y","3/3",5
"198","B0001G6PZC","A1S5QBRR6X1UZ0","3/3",4
"199","B0001G6PZC","A3J75SXN3OLMMH","3/3",5
"200","B0001G6PZC","A1KJTBUUDD52I5","3/3",4
"201","B0001G6PZC","A5H8VLE7L7SB","3/3",5
"202","B0001G6PZC","A22P61STPVL79E","3/3",5
"203","B0001G6PZC","AMLWK2BVD346O","3/3",5
"204","B0001G6PZC","A2VXLLBBT7CL89","3/3",4
"205","B0001G6PZC","A1L5H0ZSR3TOL9","3/3",4
"206","B0001G6PZC","A3F18SDKBDF2WR","3/3",4
"207","B0001G6PZC","AGOEKVIJV9UX6","3/3",5
"208","B0001G6PZC","A35ZK3M8L9JUPX","3/3",5
"209","B0001G6PZC","A28GCEHD00JFZG","3/3",5
"210","B0001G6PZC","APGN8QGF0P5QR","3/3",5
"211","B0001G6PZC","A1GCLHX6W6OPPO","5/6",4
"212","B0001G6PZC","A1XXYW2OGHJQOL","7/9",5
"213","B0001G6PZC","A3942O4ZU2TNZO","7/9",5
"214","B0001G6PZC","AZWBQPQN96SS6","9/12",2
"215","B0001G6PZC","A3F7O98Q29Y8G","11/15",5
"216","B0001G6PZC","A32B1132Y3YTGA","11/15",5
"217","B0001G6PZC","AF4H64QU3J28H","87/93",5
"218","B0001G6PZC","A1FPFWDC1ASYNJ","67/73",4
"219","B0001G6PZC","A3AF8P0GINFADV","218/253",5
"220","B0001G6PZC","AGKPTMTR3UX1R","4/5",5
"221","B0001G6PZC","A2OWV1MU4MOVXK","4/5",5
"222","B0001G6PZC","ANYR2K39F5B3S","4/5",4
"223","B0001G6PZC","AXWCDLKWEGLPE","4/5",5
"224","B0001G6PZC","A2UU6VWL6H18A1","4/5",5
"225","B0001G6PZC","A2GPVOWH5WA4YY","4/5",5
"226","B0001G6PZC","A1ZN0I16O0TB38","4/5",5
"227","B0001G6PZC","A595T15OO91DC","4/5",3
"228","B0001G6PZC","A2XR0NROT9X7M6","4/5",5
"229","B0001G6PZC","A1MQKL6JLNECGI","4/5",5
"230","B0001G6PZC","A2YAABMT80RLYA","4/5",4
"231","B0001G6PZC","A32XW50ILWOXNO","4/5",4
"232","B0001G6PZC","AB9QXH5URDLER","6/8",4
"233","B0001G6PZC","A3KXFH8BRCHZSF","6/8",5
"234","B0001G6PZC","A2VP4VW7OTYGVM","6/8",5
"235","B0001G6PZC","A1SKRSFWO39LZ1","8/11",4
"236","B0001G6PZC","ANEBAA4RGSVI7","14/20",5
"237","B0001G6PZC","A1SCD2NYTIAQTY","3/4",4
"238","B0001G6PZC","A225GQXYLH61V9","3/4",5
"239","B0001G6PZC","AEEPHI4LT2OBN","3/4",4
"240","B0001G6PZC","A2NZCH50DAO5DA","3/4",5
"241","B0001G6PZC","A36YU8FX2976W4","3/4",5
"242","B0001G6PZC","A19QIBFRAZNAIK","3/4",4
"243","B0001G6PZC","AUEHG0DB54B7K","3/4",5
"244","B0001G6PZC","A3BA5ISHG5AHF2","3/4",5
"245","B0001G6PZC","A2O8NWM7V0B6BQ","3/4",4
"246","B0001G6PZC","A2W74MFIM2UO3T","3/4",5
"247","B0001G6PZC","AZJRWJ1QWB71K","3/4",5
"248","B0001G6PZC","A2EIEXQVCPXZNG","3/4",3
"249","B0001G6PZC","A16CZRQL23NOIW","3/4",4
"250","B0001G6PZC","A1YHQ1JWEJK6BI","3/4",5
"251","B0001G6PZC","A3W1JJGJHRPH4Y","3/4",3
"252","B0001G6PZC","A1BHCE2409B5QF","3/4",5
"253","B0001G6PZC","A3HHV1TH8P9J14","3/4",4
"254","B0001G6PZC","A17FLA8HQOFVIG","3/4",4
"255","B0001G6PZC","AGEI7S0BMD4A4","3/4",4
"256","B0001G6PZC","A25V7MPGZ542BX","3/4",5
"257","B0001G6PZC","A8QD52JMYBPRA","3/4",5
"258","B0001G6PZC","A38G64S5VMRI1P","3/4",4
"259","B0001G6PZC","AJKWF4W7QD4NS","3/4",4
"260","B0001G6PZC","A1R8AO9XASQ15C","3/4",3
"261","B0001G6PZC","AD5505PRB0IDO","3/4",5
"262","B0001G6PZC","A3TRXCPCNO9VX0","3/4",5
"263","B0001G6PZC","A3PJXZOYC8026Z","3/4",3
"264","B0001G6PZC","A1COW0UIB5HA9J","3/4",5
"265","B0001G6PZC","A13IKSGDYNBNQS","3/4",4
"266","B0001G6PZC","AL618JIMLFU7E","3/4",5
"267","B0001G6PZC","A3LXKO2S6G2DBI","5/7",3
"268","B0001G6PZC","AQ0KB7RO4J9BS","5/7",3
"269","B0001G6PZC","ALG7QH2L5JL2L","5/7",4
"270","B0001G6PZC","A27CHILBK6HIL2","5/7",4
"271","B0001G6PZC","A2NBOL825B93OM","5/7",5
"272","B0001G6PZC","A3V6NSNN30G3F8","5/7",3
"273","B0001G6PZC","A2LMMZTCPUTUXF","5/7",5
"274","B0001G6PZC","A3LLB7X6R4CUKP","5/7",5
"275","B0001G6PZC","A20ZFWGBY4REFX","7/10",5
"276","B0001G6PZC","AVLDQY3JWB6HU","7/10",2
"277","B0001G6PZC","A2WXM6ZZYAIY1S","9/13",3
"278","B0001G6PZC","A16X61RLY1YJL7","9/13",5
"279","B0001G6PZC","A3Q5AREMT69TDP","14/21",5
"280","B0001G6PZC","A3J3AKELO8I207","12/18",2
"281","B0001G6PZC","A1XNXHTPQRACRO","12/18",2
"282","B0001G6PZC","A3UDYY6L2NH3JS","6/9",5
"283","B0001G6PZC","AYAJY6D9BF1EA","6/9",2
"284","B0001G6PZC","A229PAZ0GQ4DKI","4/6",5
"285","B0001G6PZC","A13TO1ZFAH9SVN","4/6",5
"286","B0001G6PZC","A3VQSFORKH8B7O","4/6",5
"287","B0001G6PZC","A13DQTXG02HZC1","4/6",4
"288","B0001G6PZC","AC7H0GG8LX2IE","4/6",4
"289","B0001G6PZC","A29CWGLEAS9AUN","4/6",5
"290","B0001G6PZC","A38AYXWZTOHP7Y","4/6",5
"291","B0001G6PZC","A1ZTSOBAPOWT3","4/6",5
"292","B0001G6PZC","A34SACCQ7VOV6L","4/6",4
"293","B0001G6PZC","A3SQ5LI1Y8SK6J","4/6",5
"294","B0001G6PZC","A35SHLL06N0OC8","12/13",5
"295","B0001G6PZC","A1B05INWIDZ74O","8/8",4
"296","B0001G6PZC","A2EWC48FRNO3YP","8/8",5
"297","B0001G6PZC","A10UVC4IRS4C6E","8/8",5
"298","B0001G6PZC","AKZ8GM8LRERR8","8/8",5
"299","B0001G6PZC","A2XZ6THWPDKC0L","8/8",5
"300","B0001G6PZC","A2GD66UAY3C0FL","8/8",5
"301","B0001G6PZC","A2B8GXSCB1R05T","11/12",5
"302","B0001G6PZC","AQOQ54S7NMGFT","11/12",5
"303","B0001G6PZC","A2TZKXU6Q0EDNP","9/14",4
"304","B0001G6PZC","A1D2C0WDCSHUWZ","9/14",2
"305","B0001G6PZC","ARA48345JZPZR","9/14",2
"306","B0001G6PZC","A32XLXJIT5YCJ5","7/11",3
"307","B0001G6PZC","A3LH77PBDFEO3F","7/11",5
"308","B0001G6PZC","ABBQUM3P1K2HT","5/8",3
"309","B0001G6PZC","AL9BZK1QPVA1D","5/8",5
"310","B0001G6PZC","AC06F0LPHI1TW","5/8",2
"311","B0001G6PZC","A27MOT4ZIUAKIW","3/5",4
"312","B0001G6PZC","A3BO21YK08SSV8","3/5",4
"313","B0001G6PZC","A2CN3U4JCMSMA","3/5",5
"314","B0001G6PZC","ALLFSWHJXW4LD","3/5",4
"315","B0001G6PZC","A31VRNV75GSXNR","3/5",5
"316","B0001G6PZC","A30OZ7YUEP9SDJ","3/5",5
"317","B0001G6PZC","A2DSXA1E02C86D","111/173",4
"318","B0001G6PZC","A3GHLHL1KNBYUP","10/16",5
"319","B0001G6PZC","A2UZLIH3BSGJ3N","4/7",2
"320","B0001G6PZC","A32UVORM7873FP","4/7",5
"321","B0001G6PZC","AEYJGHIDOO6GE","4/7",5
"322","B0001G6PZC","A1EGDRTJYF3AZK","4/7",5
"323","B0001G6PZC","A3U02XWSCEESPP","4/7",3
"324","B0001G6PZC","ATQTE464YAZM1","4/7",3
"325","B0001G6PZC","A3KML4F2KRUWWT","4/7",5
"326","B0001G6PZC","A1I9B4PSCDDWOO","4/7",3
"327","B0001G6PZC","A2WELXI7RO4R2D","5/9",3
"328","B0001G6PZC","A7GSGC0G8R6PW","8/14",3
"329","B0001G6PZC","AQDQVC3SBCOA3","3/6",4
"330","B0001G6PZC","A3TEH90X39WC8F","3/6",4
"331","B0001G6PZC","AP6FB28W66LW","3/6",5
"332","B0001G6PZC","A1YQ6QB2127AJ4","7/7",5
"333","B0001G6PZC","A3MJMDJ8N9S8Q8","7/7",5
"334","B0001G6PZC","A2I0D4U84MC6F6","7/7",5
"335","B0001G6PZC","AHK6FJP078EXJ","7/7",5
"336","B0001G6PZC","A2G0WJZ9Q7YU0Y","12/14",5
"337","B0001G6PZC","A3LZBOBV9H1HDV","12/14",5
"338","B0001G6PZC","A1TW9ZGRDQQZ2Y","12/14",5
"339","B0001G6PZC","A2YTUSSQKJIZPK","9/10",5
"340","B0001G6PZC","A3VLX5Z090RQ0V","9/10",4
"341","B0001G6PZC","A14S02470X8F99","6/6",5
"342","B0001G6PZC","A1J0D7V1DKE80W","4/8",3
"343","B0001G6PZC","AGI3VJ0I04QO7","4/8",4
"344","B0001G6PZC","A2TW0TQ3UPMNT4","4/8",4
"345","B0001G6PZC","A146H6A41B26QT","5/10",2
"346","B0001G6PZC","A1GQ7AFCN7OZMK","5/10",2
"347","B0001G6PZC","A8GP5U9H4PNOC","5/10",3
"348","B0001G6PZC","ANM2SCEUL3WL1","8/15",2
"349","B0001G6PZC","A343PMUDB6G03J","25/45",1
"350","B0001G6PZC","A3OIZEXS8CGBOD","23/42",1
"351","B0001G6PZC","A2YUU8P5BZQ0GQ","9/18",5
"352","B0001G6PZC","A268WAQS5WNMGJ","6/13",3
"353","B0001G6PZC","A1H2RT46AOYW43","3/8",2
"354","B0001G6PZC","A2XHAD0NGDTR47","3/8",3
"355","B0001G6PZC","A2CKLNEOJODPZZ","20/38",5
"356","B0001G6PZC","A1PL4XEG9TH8ZI","16/31",1
"357","B0001G6PZC","APIW11UEPKIC2","4/10",3
"358","B0001G6PZC","A2PI8L1O1JW2LB","4/10",3
"359","B0001G6PZC","A1ND6U2MAQQMZA","9/19",1
"360","B0001G6PZC","A1CPJXP2BWLAJE","9/19",1
"361","B0001G6PZC","A3RCMBI95CYIAN","10/21",1
"362","B0001G6PZC","AR15V2ULA2EYM","10/21",1
"363","B0001G6PZC","A771IIG4K1DG","19/37",1
"364","B0001G6PZC","A39WM5BQ54J8XY","6/6",5
"365","B0001G6PZC","A143005PM9G2K7","15/30",1
"366","B0001G6PZC","A3HA0A92FVYHOF","6/14",1
"367","B0001G6PZC","A2VUVWXLL8JYOK","11/23",1
"368","B0001G6PZC","A5JLAU2ARJ0BO","13/27",1
"369","B0001G6PZC","A2FTHCGH06O4Y5","6/15",2
"370","B0001G6PZC","A3OIZEXS8CGBOD","6/15",1
"371","B0001G6PZC","A2WM6ATL0DURIT","3/10",2
"372","B0001G6PZC","A3OIZEXS8CGBOD","4/12",1
"373","B0001G6PZC","A2Z0A3DOG0EVTY","4/12",3
"374","B0001G6PZC","A19ZXK9HHVRV1X","20/42",3
"375","B0001G6PZC","ABSX5TGEGRH76","5/14",4
"376","B0001G6PZC","A3ENIIHSZ9IPB2","8/20",1
"377","B0001G6PZC","A2PVH3N1SVP0VC","6/17",1
"378","B0001G6PZC","A5DW9BUDKM3MX","3/12",1
"379","B0001G6PZC","ALN0TTRTLHA4E","6/18",1
"380","B0001G6PZC","A3JHCPSSW3P9BT","10/27",2
"381","B0001G6PZC","AWU5QOJ7Y3Q9Z","7/21",2
"382","B0001G6PZC","A3EETR6Z73XQXE","6/19",1
"383","B0001G6PZC","AEVNUEDRGTC4P","5/17",1
"384","B0001G6PZC","A1VVCBOF6UI53C","4/15",1
"385","B0001G6PZC","AUSRSQVVRDRNB","4/17",5
"386","B0001G6PZC","A171WA0E3DIXXM","4/17",1
"387","B0001G6PZC","A3C2LHGUP8G0TF","27/67",1
"388","B0001G6PZC","A3OIZEXS8CGBOD","8/26",1
"389","B0001G6PZC","A2VJZ4EAMWHOM0","15/42",1
"390","B0001G6PZC","A1HHBA88Y842XR","5/20",1
"391","B0001G6PZC","A2A5IOAP5QCK5P","8/9",4
"392","B0001G6PZC","A1G46TMY48YFSR","5/5",5
"393","B0001G6PZC","A3EN73YI5J9A59","5/5",5
"394","B0001G6PZC","A2MS6UV7ZGTMLR","5/5",4
"395","B0001G6PZC","A1NIEIENEWXCCQ","5/5",4
"396","B0001G6PZC","A1TKM36EYEQNSM","5/5",4
"397","B0001G6PZC","A92XVSV8LADWZ","5/5",5
"398","B0001G6PZC","A27RJ30RN5K9MX","5/5",5
"399","B0001G6PZC","A1JH5J1KQAUBMP","5/5",4
"400","B0001G6PZC","A1631PDU0WGN4W","5/5",4
"401","B0001G6PZC","A3J9IMRCYVF7NS","5/5",4
"402","B0001G6PZC","APOGXH3A74CM3","7/8",5
"403","B000IZJR3I","AT7W1EXT0PF2Y","6/6",4
"404","B000IZJR3I","A2EDZH51XHFA9B","3/5",2
"405","B0023S4A12","AHF97M45JFCB","12/12",3
"406","B0023S4A12","AOXX0U2T2BGYM","4/4",3
"407","B0023S4A12","A2KHKJDDV7MW5R","3/3",4
"408","6300157423.0","APYWZNEO6CI2P","4/4",4
"409","1562229567.0","A3EX8ZFNVDHGPM","3/3",5
"410","1888617047.0","A24PRG8MZAS4CP","28/30",5
"411","1888617047.0","A1ODRO93KC78UW","5/5",5
"412","B002OHDRF2","A1OYNQNK3ZM5QB","17/26",1
"413","B002OHDRF2","A2N7N3OPJSAJJD","9/14",1
"414","B002OHDRF2","ATFWRRH0XF29Q","5/8",1
"415","B002OHDRF2","A1NLO4JVLEGGRJ","5/8",2
"416","B002OHDRF2","ANO4PGAI917Y5","3/5",2
"417","B002OHDRF2","A3W1J86UZ0A7O1","3/5",2
"418","B002OHDRF2","A2G0KS2DQPFI9U","3/5",2
"419","B002OHDRF2","A2ICW5OUWX2A2V","3/5",2
"420","B002OHDRF2","A2CML5TNYS3EME","3/5",2
"421","B002OHDRF2","AE088LDJ5RB9M","3/5",2
"422","B002OHDRF2","A3N6GAJTEOF4MO","10/16",4
"423","B002OHDRF2","AI46E73DWKD2B","8/13",1
"424","B002OHDRF2","A32UU82TUU1VSO","6/10",1
"425","B002OHDRF2","A27HRGURIFIPO7","6/10",2
"426","B002OHDRF2","A1V3TRGWOMA8LC","4/7",1
"427","B002OHDRF2","A2SY0QKQO1N34F","4/7",5
"428","B002OHDRF2","A1FA6OMV8L0BAE","4/7",4
"429","B002OHDRF2","A1YUU8OLLOC5E0","9/15",1
"430","B002OHDRF2","A3EFSLEMHNPP6A","207/221",5
"431","B002OHDRF2","A3FNOMJG1MKQYG","52/53",4
"432","B002OHDRF2","A121DGWQV512NO","88/110",4
"433","B002OHDRF2","AROTQNRZ51CUU","27/33",3
"434","B002OHDRF2","A2TETBBOE4A8B5","16/19",4
"435","B002OHDRF2","A39P4Q2WO20CAU","10/11",4
"436","B002OHDRF2","A355H049TGU80A","95/127",4
"437","B002OHDRF2","A39LN2RS57FJYW","91/123",2
"438","B002OHDRF2","A3GFP6QUQH8DRN","8/9",4
"439","B002OHDRF2","A1XLRO58VPVR5N","5/5",2
"440","B002OHDRF2","A3ICDLUQ3V2QY2","7/12",1
"441","B002OHDRF2","A1VW4ZBXKEYTZ9","17/28",1
"442","B002OHDRF2","A12MRCRQV18FEQ","5/9",1
"443","B002OHDRF2","A1ANECOZNPF9ZH","3/6",1
"444","B002OHDRF2","A3UDYY6L2NH3JS","3/6",4
"445","B002OHDRF2","ARIO0LYVA1J8","3/6",3
