product_productid,review_userid,review_helpfulness,review_score
B000063W1R,A2Z71PNFQ40HF6,3/5,5.0
B000063W1R,A16HYHVQIFMRP6,3/5,5.0
B000063W1R,A1FYYU65Q436C2,3/5,4.0
B000063W1R,A1G9FR0T9UGFQR,1/2,4.0
B000063W1R,A304OFBH6YJX8M,1/2,5.0
B000063W1R,A3D3D3349KVVFV,1/2,5.0
B000063W1R,A1GRC5WGBMT8BF,1/2,5.0
B000063W1R,AEXVGEMTTOXV9,1/2,5.0
B000063W1R,A2HN2BU4VXBQ3H,1/2,5.0
B000063W1R,AI2G6ZZS0G00Y,1/2,5.0
B000063W1R,A2KWFGHX2PKJJB,1/2,5.0
B000063W1R,A2NVQZ4Y7Y0J1R,1/2,5.0
B000063W1R,A34X0JH8GU1TCL,1/2,4.0
B000063W1R,A3A1MXZAP0AVYM,1/2,5.0
B000063W1R,AHQYCRL2FMG3D,1/2,3.0
B000063W1R,A1HX00DL0SZM1G,1/2,4.0
B000063W1R,AWMI8T6T8R0Q5,1/2,5.0
B000063W1R,ASM49K4PPX7EA,1/2,5.0
B000063W1R,A2WB4OWBUH2VQX,1/2,5.0
B000063W1R,A1KFBAPAKMEQUF,1/2,5.0
B000063W1R,A16837CKPTA07O,1/2,4.0
B000063W1R,A2ZLROGIL2V7GV,1/2,5.0
B000063W1R,A2PV19AS7V6JY3,1/2,4.0
B000063W1R,A1655SGPPUUCRP,1/2,5.0
B000063W1R,A3FX9KYW53MRBD,35/56,1.0
B000063W1R,A2ZQ75P93V9MX9,4/7,4.0
B000063W1R,A3LFFFKJEO2ZFK,2/4,5.0
B000063W1R,A30LQLFU8JFDPM,2/4,2.0
B000063W1R,A3TXNSN0LN4CRC,2/4,5.0
B000063W1R,A7Y6AVS576M03,2/4,3.0
B000063W1R,A1ESIMERJCCX6,2/4,5.0
B000063W1R,A3S1N6O1HAURLJ,2/4,4.0
B000063W1R,AED6N2DP65192,10/17,1.0
B000063W1R,A2VN0HXQR27YF,5/9,2.0
B000063W1R,A103VZ3KDF2RT5,5/9,1.0
B000063W1R,AZ289K8AEXF21,5/9,5.0
B000063W1R,A1MJ2N6XARKOFQ,0/1,5.0
B000063W1R,A2KW1R12GJO3BI,0/1,5.0
B000063W1R,A112UYCJEYZPIP,0/1,5.0
B000063W1R,A2DB5YBO8INXWZ,0/1,5.0
B000063W1R,A21TCW8DZTOJKS,0/1,5.0
B000063W1R,A26WR0278FJD0Q,0/1,5.0
B000063W1R,AQZH7YTWQPOBE,0/1,3.0
B000063W1R,A2ZHLRZA2UHKNN,0/1,3.0
B000063W1R,A24TXEHKPFHT0J,0/1,5.0
B000063W1R,A3C9RIZVADD3B6,0/1,2.0
B000063W1R,A2AZOD3HG2EL5N,0/1,5.0
B000063W1R,A2GMUNBN9HKRZS,0/1,3.0
B000063W1R,A37J2XO8DNJU5U,0/1,5.0
B000063W1R,A2A3L2QLRWD5F4,0/1,5.0
B000063W1R,AVRA2OVCB1K5I,0/1,5.0
B000063W1R,AT7DYVPTAY36C,0/1,5.0
B000063W1R,A1VQNX0TFZZPCD,0/1,5.0
B000063W1R,ADLN37B0153N,0/1,4.0
B000063W1R,A1EI65WJC85U68,0/1,3.0
B000063W1R,A87RT63V7SMD3,0/1,4.0
B000063W1R,A3S3HYKVSZKFNF,4/4,3.0
B000063W1R,A3TI9JJG07FY3U,4/4,5.0
B000063W1R,A37GQ47VYV6Z3T,6/7,2.0
B000063W1R,A2J39S4NZE4R40,6/7,5.0
B000063W1R,A1PILMASEE483C,6/7,4.0
B000063W1R,AEP7IR7KT2UIA,6/7,5.0
B000063W1R,A15XXOVX6ZNNRO,6/7,4.0
B000063W1R,A17FLA8HQOFVIG,6/7,5.0
B000063W1R,AJFX9A874WWHI,6/7,2.0
B000063W1R,A141HP4LYPWMSR,3/3,4.0
B000063W1R,AOVJYIUATQKR5,0/1,4.0
B000063W1R,A3PVJSJT8JZUAC,0/1,4.0
B000063W1R,A1K5KYE4MNQXG,0/1,4.0
B000063W1R,A3OI841P5R6FCH,0/1,4.0
B000063W1R,ADX5JX5LKLC22,0/1,5.0
B000063W1R,A2R93V4Q29O83N,13/22,1.0
B000063W1R,A1PO10SDIYHOMJ,8/14,1.0
B000063W1R,A33N2SW8DMY4ZZ,3/6,5.0
B000063W1R,A2RWH9TYO412RC,9/16,1.0
B000063W1R,A3GGH1ZRO1X6AN,1/3,5.0
B000063W1R,AYDMO7GMLIQJ3,1/3,1.0
B000063W1R,A2YMUM79BAB0TF,1/3,1.0
B000063W1R,A6XTOZKDV7X94,1/3,1.0
B000063W1R,AZS4LNQFPHPZL,1/3,2.0
B000063W1R,A1QQPIUXWD4G0Z,12/21,1.0
B000063W1R,A2NHDJD281DRHM,4/8,1.0
B000063W1R,A205217DOX0SCR,4/8,4.0
B000063W1R,A3PU5P5DWN5OOZ,4/8,1.0
B000063W1R,A898P4CKWFLTT,4/8,2.0
B000063W1R,AIDZDBQXIB0SE,4/8,1.0
B000063W1R,A15S44J4NHU4LS,4/8,5.0
B000063W1R,A21ZR0P46CLQTE,7/13,1.0
B000063W1R,A303AOOHDU1VZ2,7/13,1.0
B000063W1R,A2MMIZ653FBNPT,10/18,2.0
B000063W1R,A2DRCJ1YOFTZKK,13/23,2.0
B000063W1R,A1XFGXKWNL752X,2/5,2.0
B000063W1R,A2NNTNC715AJ50,2/5,5.0
B000063W1R,A1VNKHD87ZGMQE,2/5,5.0
B000063W1R,A3JJA7N685ASZG,2/5,5.0
B000063W1R,A1ERZIZ48CBCSB,2/5,2.0
B000063W1R,A1N8K1X0OLLADY,2/5,5.0
B000063W1R,A3UBWCLVJ6WN2V,2/5,4.0
B000063W1R,AYG1U47VFZ165,2/5,4.0
B000063W1R,A1VP82VQ411AHH,2/5,4.0
B000063W1R,A21QS6KC7OZ5F4,2/5,5.0
B000063W1R,AFPJRGS99VU8P,5/10,2.0
B000063W1R,A3KZWXHLEMAZID,5/10,1.0
B000063W1R,AJUDAZVU7UMJC,3/7,5.0
B000063W1R,A1G4B9IY8WU9ES,0/2,5.0
B000063W1R,A18SC0K2OUTGFF,0/2,4.0
B000063W1R,AZC67HZXX5EQ1,0/2,5.0
B000063W1R,A3DR96TWTYQBIB,0/2,5.0
B000063W1R,AFQ1KU9Z93PES,0/2,5.0
B000063W1R,A3NNV90ZY500DK,0/2,1.0
B000063W1R,A3JLOIXFM75QNV,0/2,2.0
B000063W1R,A2NTNKFWSU5K7R,0/2,5.0
B000063W1R,A5711PC5T465W,0/2,5.0
B000063W1R,A12PNLQL3E6W4C,0/2,5.0
B000063W1R,A3UJJGY799F76I,0/2,5.0
B000063W1R,A3BVH10DSPW8YO,0/2,5.0
B000063W1R,ANE9HHP1P8LEP,0/2,5.0
B000063W1R,AGKMDWGVABVH,1/4,5.0
B000063W1R,A27RJ30RN5K9MX,1/4,5.0
B000063W1R,ASIDGLECI96TG,1/4,5.0
B000063W1R,A26DX7HHQ7EM60,1/4,1.0
B000063W1R,A1U15OYLAI4DD3,1/4,1.0
B000063W1R,A34F4ZL5HE99AT,1/4,1.0
B000063W1R,A1Q44JC73WF03N,1/4,1.0
B000063W1R,A2UAQ4AB1XU623,1/4,1.0
B000063W1R,A32AK8FOAZEPE2,1/4,3.0
B000063W1R,AIQ2YYD0AU151,8/16,1.0
B000063W1R,AVBFGFL4E7JHF,3/3,4.0
B000063W1R,A3QLZ79JF6R1A4,3/3,5.0
B000063W1R,A2NJO6YE954DBH,3/3,4.0
B000063W1R,AY99WNAYRUIFC,3/3,5.0
B000063W1R,A1KBEHXGW71JDO,4/10,1.0
B000063W1R,A3UP5OPI1HA6WS,0/3,5.0
B000063W1R,A36TASDZP9B4R6,0/3,3.0
B000063W1R,A3J510E9W1CJ1K,0/3,3.0
B000063W1R,A1GVLNWPIGLICW,0/3,1.0
B000063W1R,AON6QJ88F2ARM,0/3,5.0
B000063W1R,A2VLH0R0UP9ULJ,0/3,1.0
B000063W1R,ASUEUK3RMFZHR,1/5,1.0
B000063W1R,A2NK3PX0BLER6M,1/5,1.0
B000063W1R,A2ZYB2S79GU5WL,1/7,3.0
B000063W1R,A2D4RUMDYEF0S5,5/22,1.0
B000063W1R,A2AW4A1E87R9UH,13/50,1.0
B000063W1R,AQ01Q3070LT29,0/33,1.0
B000063W1R,A2YWGP8UUU66SQ,3/3,2.0
B000063W1R,A1HBXCEAW5FEBJ,5/6,5.0
B000063W1R,A2AFM0SLLFPSJ1,5/6,5.0
B000063W1R,A2887J6P8VPB5H,5/6,2.0
B000063W1R,A3I3UF46UWQJFU,7/9,5.0
B000063W1R,A2FRKEXDXDN1KI,2/2,4.0
B000063W1R,A2AVV9LV9UXT6F,2/2,5.0
B000063W1R,A2ZDBOE1KHVHRA,2/2,5.0
B000063W1R,A1YVPBDG2OFMD2,2/2,5.0
B000063W1R,A14NA0W8ESGDSI,2/2,4.0
B000063W1R,A1KMDI5N5ZT85T,2/2,5.0
B000063W1R,A3NPQO93S1ENI8,2/2,5.0
B000063W1R,A10ODC971MDHV8,2/2,5.0
B000063W1R,AI0P5DBIEN5RT,2/2,5.0
B000063W1R,A7415KR7WH7CX,2/2,4.0
B000063W1R,A13F8LV1XX4UHQ,2/2,5.0
B000063W1R,AD8CNMZFHUN1D,2/2,5.0
B000063W1R,A2SPHTIPK9IKDQ,2/2,4.0
B000063W1R,A37IL8B2RL95PL,2/2,4.0
B000063W1R,A2GRC6IJRA7W4H,2/2,5.0
B000063W1R,A3760PCQD2MPIO,2/2,4.0
B000063W1R,AMI43JPFFO2TN,2/2,4.0
B000063W1R,AEM0D3OFOR9RQ,2/2,5.0
B000063W1R,A3EXIM9H3PLDX9,4/5,5.0
B000063W1R,A2BN2CP2LDD8QJ,4/5,4.0
B000063W1R,A2CBIB1NYHOH87,4/5,3.0
B000063W1R,A25AXWGBGJ5KBS,4/5,4.0
B000063W1R,A2UBFC3U1ZU7C8,4/5,3.0
B000063W1R,A2D6TWLYZ0Z6O9,4/5,4.0
B000063W1R,A3BXC8JS7FNH0Y,4/5,4.0
B000063W1R,A6EGKP0KY5B1A,1/1,1.0
B000NDFLWG,A3GYVMUS7SSDFW,17/18,5.0
B000NDFLWG,AJYGQV81FSFE2,13/13,4.0
B000NDFLWG,A39F5HLWQEZD7E,3/3,5.0
B000NDFLWG,A21SBJ6QU1C4IX,4/5,5.0
B000NDFLWG,APX3HA2INR9QM,8/11,3.0
B000NDFLWG,AR2ZNBYLIUYQ6,1/1,1.0
B000NDFLWG,A1TK6WNUIAEQRU,1/1,4.0
B000NDFLWG,A37FUJC2L7DSPT,1/1,5.0
B000NDFLWG,A18LC2UPXD4DZ9,1/1,4.0
B000NDFLWG,A1LMZB5FVKBKPB,0/0,5.0
B000NDFLWG,A85KCC7MZQ7GB,0/0,4.0
B000NDFLWG,A2JECU4P2NP7YA,0/0,5.0
B000NDFLWG,A35LEV42ZRPUHR,0/0,5.0
B000NDFLWG,A39HF4IVF4LRHD,0/0,5.0
B000NDFLWG,APTVTG9K46GE0,3/5,4.0
B000NDFLWG,A53S8VVT1IHA7,0/1,5.0
B000NDFLWG,A1JR2MV0G2BYXO,0/9,1.0
B000WI23KA,A1RBMOHIBUBC4U,5/5,5.0
B000WI23KA,A1GHO6BR5J0NHX,2/2,5.0
B000WI23KA,A1R0VUVAIDXKOT,1/1,5.0
B000WI23KA,A5QDZTTB2R1Q2,1/1,5.0
B000WI23KA,A1IO6CH22LIMT1,1/3,1.0
B000WI23KA,APV42WWCRYX5U,0/2,1.0
B008FPU7AA,A196IMI8WKWDFK,10/10,2.0
B008FPU7AA,A62OMGKSVPZZU,8/8,3.0
B008FPU7AA,A1J03J0HZ7KU5T,2/2,2.0
B008FPU7AA,A2AOZQ3WTNVVOK,2/2,3.0
B008FPU7AA,AV6QDP8Q0ONK4,1/1,5.0
B008FPU7AA,A1GGOC9PVDXW7Z,1/1,4.0
B008FPU7AA,AOY8YY8IOM71U,1/1,5.0
B008FPU7AA,A1GGOC9PVDXW7Z,1/1,4.0
B008FPU7AA,A1GGOC9PVDXW7Z,1/1,4.0
B008FPU7AA,A3MV1KKHX51FYT,0/0,3.0
B008FPU7AA,AIMR915K4YCN,0/0,3.0
B008FPU7AA,A1GWSZ4I2QGCNJ,1/3,2.0
790747324.0,AEXTGSES7BVSV,1/1,5.0
790747324.0,A324LH8S4C8U4W,1/1,5.0
790747324.0,A96DHMTN072M1,1/1,5.0
790747324.0,A1L7G9JSLCY384,1/1,5.0
790747324.0,A1ZPC1MHSY1RUY,3/4,5.0
790747324.0,A3BSL4PQKPH3SQ,3/4,5.0
790747324.0,A2IMHV5ZARXIDR,3/4,5.0
790747324.0,A25JH6CO4DVINS,5/7,4.0
790747324.0,A2YD21XOPJ966C,5/7,5.0
790747324.0,A1JY13815273PS,4/6,5.0
790747324.0,A18L8A19V8XHRF,2/3,5.0
790747324.0,A642JVHMR691N,2/3,4.0
790747324.0,A1IR2GGUJUELG0,2/3,4.0
790747324.0,A2H22I2RWE0HOV,2/3,5.0
790747324.0,A3W06CKKUVIAIY,2/3,4.0
790747324.0,A286G67EK7Q1WD,2/3,5.0
790747324.0,A3JPPR6JT75N0E,2/3,5.0
790747324.0,A1BVV2K1BKGPD5,2/3,5.0
790747324.0,A9UU8OR0TBMHE,2/3,5.0
790747324.0,A2SGR7LE899LGG,2/3,5.0
790747324.0,A3HPOCPJJQNMWN,2/3,5.0
790747324.0,A22IK3I6U76GX0,2/3,5.0
790747324.0,AWMNPNH2LXFGX,0/0,5.0
790747324.0,AGG9653C0BX5Y,0/0,5.0
790747324.0,A3D134TP9RT5Y8,0/0,5.0
790747324.0,A3EE653AB7FKQE,0/0,4.0
790747324.0,A2ULZL8DI2G7P,0/0,5.0
790747324.0,A1Z8YN8MD5B5EC,0/0,4.0
790747324.0,A3MSH2YW203752,0/0,5.0
790747324.0,AB6XFM6GDGCOZ,0/0,5.0
790747324.0,A2FFYQZPUGOX58,0/0,5.0
790747324.0,A1SMO511H9HDXL,0/0,5.0
790747324.0,A1ML24DBPYWKTN,0/0,5.0
790747324.0,A36AS7LV80LE8D,0/0,5.0
790747324.0,A27W5AJNP6YX7Z,0/0,4.0
790747324.0,A284JHTBVKHSQ8,0/0,4.0
790747324.0,A3UU05EXTE0PCY,0/0,5.0
790747324.0,A1A7YFVQXXN94,0/0,5.0
790747324.0,AZG0RBU14XWZ6,0/0,5.0
790747324.0,AXVTC1NCLZI7P,0/0,5.0
790747324.0,A2XD1IYPRTS0O5,0/0,5.0
790747324.0,A1A9I70YO7XSO4,0/0,5.0
790747324.0,A14NX8Z4OH501G,0/0,4.0
790747324.0,A6KUF4KCOS1K6,0/0,5.0
790747324.0,A3IZ8I22Q11JOZ,0/0,5.0
790747324.0,A1GB0HW46Y2EB,0/0,4.0
790747324.0,A3E0UE5XMWT5IS,0/0,5.0
790747324.0,A1457FZDPA8S6S,0/0,5.0
790747324.0,A2AIOLDNAA6742,0/0,5.0
790747324.0,A2TC3US6TWXNUS,0/0,4.0
790747324.0,A2TAAFL2CH550H,0/0,5.0
790747324.0,A1OF07M0KSXRZA,0/0,5.0
790747324.0,A2U0ABMZK6XBVF,0/0,4.0
790747324.0,A3OEECMCM2T4KQ,0/0,5.0
790747324.0,AD0J5KK4WQXNS,0/0,4.0
790747324.0,AE5WKWZRVS60N,0/0,5.0
790747324.0,A38ZTUNQJVGP6S,0/0,5.0
790747324.0,A3II1ACACC5MTX,0/0,5.0
790747324.0,A2KPOGTFS2AHWG,0/0,5.0
790747324.0,A1O2R3NKAP636K,0/0,5.0
790747324.0,A3EOYN87MMNHL1,0/0,5.0
790747324.0,A3PJOERCZEQFI5,0/0,4.0
